drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
methylprednisolone,-0.11327293515205383,-0.04007718960444132,-0.24608489871025085,0.24818065762519836,0.1898920165153558,6,6,0.6666666666666666,Glucocorticoid receptor agonist,NR3C1,0.2722,0.9163302469135801,0.7278,0.9959538834951457
SB-203580,-0.1131884977221489,-0.10333051825208324,-0.23320895433425903,0.11812829971313477,0.10552065259655279,14,14,0.8571428571428571,P38 MAPK inhibitor,MAPK14,0.2153,0.9163302469135801,0.7847,0.9959538834951457
AZD-7762,-0.11312558501958847,-0.08898338165722396,-0.36501774191856384,0.17032408714294434,0.160949267154669,19,19,0.631578947368421,CHK inhibitor,CHEK1,0.1885,0.9163302469135801,0.8128,0.9984153846153846
linsitinib,-0.11273321509361267,-0.08126574686982414,-0.3518107235431671,0.22959184646606445,0.17124927430397371,11,11,0.7272727272727273,IGF-1 inhibitor,IGF1R,0.2496,0.9163302469135801,0.751,0.9959538834951457
nifedipine,-0.11223331093788147,-0.030455682958875383,-0.2792862355709076,0.16387289762496948,0.15999219035252743,7,7,0.5714285714285714,Calcium channel blocker,CACNA1C,0.298,0.9285243902439024,0.7025,0.9959538834951457
cefazolin,-0.11028817296028137,-0.11028817296028137,-0.149685800075531,-0.07089054584503174,0.039397627115249634,2,2,1.0,,,0.2695,0.9163302469135801,0.7305,0.9959538834951457
medetomidine,-0.11021864414215088,-0.03808254599571228,-0.158136785030365,0.14473938941955566,0.12460764697159601,5,5,0.6,Adrenergic receptor agonist,ADRA2A,0.3369,0.9445910891089109,0.664,0.9959538834951457
acarbose,-0.1099604070186615,-0.0233807157386433,-0.20287811756134033,0.20397236943244934,0.14217648195827476,11,11,0.5454545454545454,Glucosidase inhibitor,GAA,0.2679,0.9163302469135801,0.7332,0.9959538834951457
flucloxacillin,-0.10980313643813133,-0.10980313643813133,-0.3036624789237976,0.08405620604753494,0.19385934248566628,2,2,0.5,,,0.2704,0.9163302469135801,0.7296,0.9959538834951457
cortisone-acetate,-0.109498530626297,-0.056188423718724935,-0.289124459028244,0.30635589361190796,0.20830234019914898,7,7,0.7142857142857143,Glucocorticoid receptor agonist,NR3C1,0.3132,0.9432089385474861,0.6877,0.9959538834951457
rottlerin,-0.10815596580505371,-0.02539372444152832,-0.24908453226089478,0.25366848707199097,0.16980436784779243,14,14,0.5714285714285714,,,0.2405,0.9163302469135801,0.7595,0.9959538834951457
