drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
danazol,-0.05243903398513794,0.013331092034394924,-0.13040602207183838,0.168950617313385,0.10670026526357682,13,13,0.5384615384615384,Estrogen receptor antagonist,ESR1,0.375,0.9103806451612904,0.6258,1.0
QL-XI-92,-0.05183631181716919,-0.0013542142179277209,-0.1360502541065216,0.1613934338092804,0.10211099145653896,9,9,0.5555555555555556,,,0.3967,0.9110923766816144,0.6039,1.0
naproxen,-0.05147077888250351,-0.025972727153982435,-0.11869964003562927,0.14146244525909424,0.09461215857293351,7,7,0.7142857142857143,Cyclooxygenase inhibitor,PTGS1,0.4127,0.9215851528384279,0.5877,1.0
ampicillin,-0.05061137676239014,-0.02253970503807068,-0.11940199136734009,0.10239425301551819,0.09269810343487299,3,3,0.6666666666666666,,,0.45,0.9581250000000001,0.5502,1.0
ethambutol,-0.04989361763000488,-0.04989361763000488,-0.05174696445465088,-0.04804027080535889,0.001853346824645996,2,2,1.0,,,0.2607,0.844746875,0.7393,1.0
veliparib,-0.049535274505615234,0.005371215442816417,-0.0818934440612793,0.18026477098464966,0.09001513889909002,12,12,0.5833333333333334,PARP inhibitor,PARP2,0.3609,0.902519806763285,0.6391,1.0
nemonapride,-0.04944543540477753,-0.01102653332054615,-0.12470941245555878,0.13412606716156006,0.09128042531540148,8,8,0.625,Dopamine receptor antagonist,DRD2,0.3443,0.902519806763285,0.6557,1.0
warfarin,-0.049284741282463074,-0.04075919836759567,-0.15040576457977295,0.11126980185508728,0.07973170102032034,8,8,0.75,Vitamin K antagonist,VKORC1,0.3455,0.902519806763285,0.6545,1.0
targinine,-0.04828566312789917,-0.009155255556106568,-0.10118266940116882,0.08087587356567383,0.07330849448524268,5,5,0.6,,,0.4523,0.95870329218107,0.5485,1.0
tretinoin,-0.04813063144683838,-0.02465910613536835,-0.1248069703578949,0.09702929854393005,0.07475112202482428,15,15,0.6666666666666666,Retinoid receptor ligand,RARA,0.4254,0.9369801724137932,0.5755,1.0
sulindac,-0.047798991203308105,-0.026435991128285725,-0.13458400964736938,0.10307502746582031,0.09819279610217908,3,3,0.6666666666666666,Cyclooxygenase inhibitor,AKR1B1,0.4683,0.9688311740890688,0.5319,1.0
metoprolol,-0.04763622581958771,-0.04763622581958771,-0.15831410884857178,0.06304165720939636,0.11067788302898407,2,2,0.5,Adrenergic receptor antagonist,ADRB1,0.2645,0.844746875,0.7355,1.0
medrysone,-0.04737699031829834,-0.008571435104716908,-0.15349538624286652,0.16385668516159058,0.10968298156358451,11,11,0.5454545454545454,Glucocorticoid receptor agonist,NR3C1,0.433,0.9481888888888889,0.5672,1.0
ceramide,-0.0464610755443573,-0.005452960729598999,-0.19118154048919678,0.15624821186065674,0.11259003879743702,7,7,0.5714285714285714,,,0.4559,0.95870329218107,0.5451,1.0
guggulsterone,-0.04587528482079506,-0.01397217499713103,-0.1308896541595459,0.12941209971904755,0.08760296401424167,12,12,0.5833333333333334,IKK inhibitor,NR3C1,0.3841,0.9103806451612904,0.6159,1.0
rimcazole,-0.045869648456573486,-0.005859533945719401,-0.15850919485092163,0.13467639684677124,0.10671997883209372,9,9,0.5555555555555556,Sigma receptor antagonist,SIGMAR1,0.4499,0.9581250000000001,0.5507,1.0
nicergoline,-0.04538963735103607,-0.04538963735103607,-0.1939508020877838,0.10317152738571167,0.14856116473674774,2,2,0.5,Adrenergic receptor antagonist,ADRA1A,0.2692,0.8492631901840489,0.7308,1.0
benzydamine,-0.04535317420959473,-0.018549931900841848,-0.13619813323020935,0.11213642358779907,0.09242768971189626,7,7,0.5714285714285714,,,0.4584,0.9600098360655737,0.5423,1.0
anisomycin,-0.04478329420089722,-0.04478329420089722,-0.04478329420089722,-0.04478329420089722,0.0,1,1,1.0,,,0.4851,0.9841779527559055,0.5149,1.0
calcitriol,-0.04417646676301956,-0.0026907273210011995,-0.148034930229187,0.10250002145767212,0.08238902774270276,13,13,0.5384615384615384,Vitamin D receptor agonist,VDR,0.4556,0.95870329218107,0.545,1.0
tropisetron,-0.04403068125247955,0.01580783724784851,-0.09111297130584717,0.14737677574157715,0.0934579598032075,9,9,0.5555555555555556,Serotonin receptor antagonist,HTR3A,0.4611,0.9609292682926829,0.5394,1.0
AT-CSC-07,-0.04262344539165497,-0.014677146449685097,-0.1030072569847107,0.09853863716125488,0.0738272679153227,8,8,0.625,,,0.3656,0.902519806763285,0.6344,1.0
rivaroxaban,-0.04155559837818146,-0.013187013566493988,-0.11577226221561432,0.16011101007461548,0.0999665649104372,6,6,0.6666666666666666,Coagulation factor inhibitor,F10,0.3433,0.902519806763285,0.6567,1.0
bucladesine,-0.04132663272321224,-0.025824910029768944,-0.15188637375831604,0.15078777074813843,0.09310043730911893,10,10,0.6,CAMP stimulant,PRKACA,0.3805,0.9103806451612904,0.6195,1.0
clindamycin,-0.03986808657646179,-0.03986808657646179,-0.1261243224143982,0.04638814926147461,0.0862562358379364,2,2,0.5,,,0.281,0.8641644970414202,0.719,1.0
huperzine-a,-0.038791000843048096,-0.0017217066552903918,-0.14757287502288818,0.15979468822479248,0.10702544995110772,9,9,0.5555555555555556,Glutamate receptor antagonist,ACHE,0.4887,0.9841779527559055,0.5119,1.0
acadesine,-0.03275654464960098,-0.030430875718593597,-0.11236949265003204,0.05615907907485962,0.0812184122418178,4,4,0.5,,,0.3396,0.902519806763285,0.6604,1.0
dantrolene,-0.02862323820590973,-0.02862323820590973,-0.10977378487586975,0.05252730846405029,0.08115054666996002,2,2,0.5,Calcium channel blocker,RYR1,0.3147,0.8875550802139036,0.6853,1.0
triamcinolone,-0.028235606849193573,-0.021188905462622643,-0.17388123273849487,0.12868410348892212,0.12281308575100765,8,8,0.5,Glucocorticoid receptor agonist,NR3C1,0.3751,0.9103806451612904,0.6249,1.0
quinine,-0.027776114642620087,-0.03192125881711642,-0.140794038772583,0.08458566665649414,0.0905492218842873,6,6,0.5,Hemozoin biocrystallization inhibitor,KCNN4,0.3553,0.902519806763285,0.6447,1.0
nutlin-3,-0.02546122670173645,-0.019753705710172653,-0.17910140752792358,0.1352607011795044,0.11444864228592325,8,8,0.5,MDM inhibitor,MDM2,0.3768,0.9103806451612904,0.6232,1.0
