drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
tranylcypromine,-0.038468919694423676,-0.017142005264759064,-0.12968987226486206,0.13167300820350647,0.0891719665497849,7,7,0.5714285714285714,Monoamine oxidase inhibitor,KDM1A,0.427,0.9551939393939394,0.5734,0.9995
JW-7-24-1,-0.038359642028808594,-0.013334167003631592,-0.128509521484375,0.1149134635925293,0.09016270556018806,5,5,0.6,,,0.4258,0.9551939393939394,0.5748,0.9995
naftifine,-0.037467390298843384,-0.037467390298843384,-0.037467390298843384,-0.037467390298843384,0.0,1,1,1.0,,,0.4718,0.9879333333333333,0.5287,0.9995
CO-102862,-0.03528720140457153,-0.03137098252773285,-0.12706100940704346,0.05000567436218262,0.06491533957612335,6,6,0.6666666666666666,,,0.3038,0.8973514450867053,0.6962,0.9995
pivmecillinam,-0.033966973423957825,-0.033966973423957825,-0.16013655066490173,0.09220260381698608,0.1261695772409439,2,2,0.5,,,0.2785,0.889459375,0.7215,0.9995
valsartan,-0.03383951261639595,-0.0434681186452508,-0.19129839539527893,0.08374500274658203,0.11079212987647104,8,8,0.5,Angiotensin receptor antagonist,AGTR1,0.3132,0.9063073033707865,0.6868,0.9995
mestranol,-0.028191983699798584,0.00942055881023407,-0.11985158920288086,0.1591615080833435,0.08421534575485569,13,13,0.5384615384615384,Estrogen receptor agonist,ESR1,0.4263,0.9551939393939394,0.5752,0.9995
calcifediol,-0.027428001165390015,-0.027428001165390015,-0.10757488012313843,0.0527188777923584,0.08014687895774841,2,2,0.5,Vitamin D receptor agonist,VDR,0.2994,0.8973514450867053,0.7006,0.9995
argatroban,-0.02341940999031067,-0.009848992029825846,-0.14077794551849365,0.1520729660987854,0.10653294206750798,6,6,0.5,Thrombin inhibitor,F2,0.3144,0.9063073033707865,0.6856,0.9995
taxifolin,-0.023095741868019104,-0.0082214226325353,-0.13320431113243103,0.14007604122161865,0.1063884429403961,6,6,0.5,Opioid receptor antagonist,ADIPOR2,0.315,0.9063073033707865,0.685,0.9995
methysergide,-0.022693470120429993,-0.02143590586880843,-0.17793571949005127,0.21289512515068054,0.12613324366077935,12,12,0.5,Serotonin receptor antagonist,HTR1B,0.3303,0.9123421621621621,0.6697,0.9995
warfarin,-0.02205944061279297,-0.01370304822921753,-0.19044584035873413,0.23852452635765076,0.146358639224581,8,8,0.5,Vitamin K antagonist,VKORC1,0.3191,0.9109502793296089,0.6809,0.9995
pterostilbene,-0.02028152346611023,-0.0025871644417444863,-0.09829786419868469,0.12911707162857056,0.08725811742165665,6,6,0.5,PPAR receptor agonist,PTGS2,0.3209,0.9109994444444445,0.6791,0.9995
carbidopa,-0.019648313522338867,-0.019648313522338867,-0.08725613355636597,0.04795950651168823,0.0676078200340271,2,2,0.5,Aromatic L-amino acid decarboxylase inhibitor,DDC,0.3348,0.9148812834224599,0.6652,0.9995
fluvoxamine,-0.019081324338912964,-0.008993338793516159,-0.14846575260162354,0.1355963945388794,0.11007906641003182,8,8,0.5,Selective serotonin reuptake inhibitor,SLC6A4,0.3243,0.9116576923076922,0.6757,0.9995
cyproterone,-0.015777066349983215,-0.015777066349983215,-0.10118657350540161,0.06963244080543518,0.0854095071554184,2,2,0.5,Androgen receptor antagonist,AR,0.3581,0.9358458937198068,0.6419,0.9995
oxantel,-0.013995014131069183,-0.013995014131069183,-0.0904892086982727,0.06249918043613434,0.07649419456720352,2,2,0.5,,,0.37,0.9358458937198068,0.63,0.9995
reserpine,-0.013035699725151062,-0.013035699725151062,-0.09616237878799438,0.07009097933769226,0.08312667906284332,2,2,0.5,Vesicular monoamine transporter inhibitor,SLC18A1,0.3769,0.9358458937198068,0.6231,0.9995
QL-X-138,-0.012707091867923737,-0.011837447683016459,-0.1226046085357666,0.09663085639476776,0.09755662967780696,6,6,0.5,,,0.3518,0.9358458937198068,0.6482,0.9995
rivaroxaban,-0.012579619884490967,-0.002136876185735067,-0.09048423171043396,0.10627210140228271,0.07541970080078711,6,6,0.5,Coagulation factor inhibitor,F10,0.3526,0.9358458937198068,0.6474,0.9995
calpeptin,-0.012071415781974792,0.0006523996591567994,-0.09997481107711792,0.11978369951248169,0.08370174889610012,10,10,0.5,,,0.3464,0.9358458937198068,0.6536,0.9995
garcinol,-0.010755330324172974,-0.010755330324172974,-0.09796017408370972,0.07644951343536377,0.08720484375953674,2,2,0.5,,,0.3937,0.9363601851851852,0.6063,0.9995
prednisolone,-0.010510355234146118,-0.010510355234146118,-0.07821089029312134,0.0571901798248291,0.06770053505897522,2,2,0.5,,,0.3956,0.9363601851851852,0.6044,0.9995
BIX-02188,-0.009511291980743408,-0.009511291980743408,-0.14869916439056396,0.12967658042907715,0.13918787240982056,2,2,0.5,,,0.4032,0.9404722727272727,0.5968,0.9995
PD-123319,-0.009142957627773285,-0.010578493277231852,-0.1378941684961319,0.11310568451881409,0.10785926052893254,6,6,0.5,Angiotensin antagonist,AGTR2,0.374,0.9358458937198068,0.626,0.9995
rimexolone,-0.008811861276626587,-0.008811861276626587,-0.0751681923866272,0.05754446983337402,0.06635633111000061,2,2,0.5,Glucocorticoid receptor agonist,NR3C1,0.4083,0.9440782805429865,0.5917,0.9995
sericetin,-0.008519649505615234,-0.033549800515174866,-0.19847798347473145,0.08131808042526245,0.1077315759596229,4,4,0.5,,,0.3857,0.9363601851851852,0.6143,0.9995
WHI-P154,-0.008297011256217957,-0.008297011256217957,-0.08589702844619751,0.0693030059337616,0.07760001718997955,2,2,0.5,JAK inhibitor,EGFR,0.4121,0.9443188340807175,0.5879,0.9995
noscapine,-0.007845893502235413,-0.005364978065093358,-0.15079659223556519,0.1463567167520523,0.10970500697933638,12,12,0.5,Tubulin inhibitor,SIGMAR1,0.3687,0.9358458937198068,0.6313,0.9995
equilin,-0.0071853771805763245,0.005197893083095551,-0.08646321296691895,0.10658162832260132,0.06849245004342137,10,10,0.5,Estrogen receptor agonist,HSD17B1,0.3742,0.9358458937198068,0.6258,0.9995
vinpocetine,-0.007147334516048431,-0.012914846340815226,-0.14154934883117676,0.1231856644153595,0.09018733896255693,12,12,0.5,Sodium channel blocker,PDE1A,0.3721,0.9358458937198068,0.6279,0.9995
ribavirin,-0.006852686405181885,-0.009570608536402384,-0.1830410659313202,0.109018474817276,0.10535875546266252,6,6,0.5,Antiviral,IMPDH1,0.391,0.9363601851851852,0.609,0.9995
cinanserin,-0.006823688745498657,-0.007741009816527367,-0.2033466398715973,0.14767444133758545,0.11242735322155827,8,8,0.5,,,0.3774,0.9358458937198068,0.6227,0.9995
halcinonide,-0.006264969706535339,-0.017787888646125793,-0.197903573513031,0.12847143411636353,0.11221836046834753,6,6,0.5,Glucocorticoid receptor agonist,NR3C1,0.3958,0.9363601851851852,0.6042,0.9995
AT-CSC-18,-0.004988640546798706,0.0012382697314023972,-0.1309860348701477,0.11775749921798706,0.09155697157103168,8,8,0.5,,,0.3935,0.9363601851851852,0.6065,0.9995
timolol,-0.003963947296142578,-0.006247597746551037,-0.12414741516113281,0.09674674272537231,0.07848386014320846,8,8,0.5,Adrenergic receptor antagonist,ADRB1,0.4025,0.9404722727272727,0.5975,0.9995
miglitol,-0.003930807113647461,0.022564366459846497,-0.08927744626998901,0.18739652633666992,0.11692374140831692,4,4,0.5,Glucosidase inhibitor,GAA,0.4284,0.9551939393939394,0.5716,0.9995
tetracycline,-0.0033903196454048157,-0.0033903196454048157,-0.09518732130527496,0.08840668201446533,0.09179700165987015,2,2,0.5,,,0.4545,0.9790588235294119,0.5455,0.9995
ICI-162846,-0.002465754747390747,0.007680932680765788,-0.0473751425743103,0.09728974103927612,0.05419486109571289,6,6,0.5,Histamine receptor antagonist,HRH2,0.4318,0.9551939393939394,0.5682,0.9995
paclitaxel,-0.0020436346530914307,-0.0024815027912457785,-0.14431560039520264,0.10274934768676758,0.08737774284988076,12,12,0.5,Tubulin inhibitor,TUBB,0.4199,0.9536395555555555,0.5801,0.9995
orciprenaline,-0.0014625787734985352,-0.0014625787734985352,-0.09600841999053955,0.09308326244354248,0.09454584121704102,2,2,0.5,Adrenergic receptor agonist,ADRB2,0.4709,0.9879333333333333,0.5291,0.9995
limonin,-0.0011745244264602661,-0.0011745244264602661,-0.06993868947029114,0.0675896406173706,0.06876416504383087,2,2,0.5,,,0.4735,0.9879333333333333,0.5265,0.9995
cisapride,-0.0009518787264823914,-0.00444338284432888,-0.1364208459854126,0.11409071087837219,0.08570150724505472,8,8,0.5,Serotonin receptor agonist,HTR4,0.4302,0.9551939393939394,0.5698,0.9995
ambrisentan,-0.0007234364748001099,-0.0007234364748001099,-0.11795288324356079,0.11650601029396057,0.11722944676876068,2,2,0.5,Endothelin receptor antagonist,EDNRA,0.4767,0.9879333333333333,0.5233,0.9995
PD-166793,-0.00023508071899414062,-0.00023508071899414062,-0.10973691940307617,0.10926675796508789,0.10950183868408203,2,2,0.5,Collagenase inhibitor,MMP2,0.4811,0.9879333333333333,0.5189,0.9995
sunitinib,4.976987838745117e-06,0.004500961303710938,-0.12324029207229614,0.15538379549980164,0.11039374759711582,10,10,0.5,KIT inhibitor,FLT1,0.4397,0.9643206008583691,0.5603,0.9995
benzamil,0.0018425285816192627,-0.008439388126134872,-0.1278490424156189,0.10412997007369995,0.09420076349862529,8,8,0.5,Sodium channel blocker,SCNN1A,0.4583,0.9798799163179915,0.5417,0.9995
saracatinib,0.0019070804119110107,0.01205662957259587,-0.1113940179347992,0.16948142647743225,0.1016438883383165,14,14,0.5,Src inhibitor,ABL1,0.451,0.9790588235294119,0.549,0.9995
ivermectin,0.002834916114807129,0.002834916114807129,-0.06443935632705688,0.07010918855667114,0.06727427244186401,2,2,0.5,,,0.5099,0.9897973584905659,0.4901,0.98966328125
L-655708,0.0032297521829605103,0.0032297521829605103,-0.05490073561668396,0.06136023998260498,0.05813048779964447,2,2,0.5,GABA receptor inverse agonist,GABRA5,0.5133,0.9897973584905659,0.4867,0.98966328125
glimepiride,0.00338040292263031,0.006554354727268219,-0.1283969283103943,0.13823848962783813,0.08373494196380547,10,10,0.5,Insulin secretagogue,KCNJ11,0.4751,0.9879333333333333,0.5249,0.9995
ibrutinib,0.004977032542228699,-0.0011539480515888759,-0.10452061891555786,0.09165462851524353,0.07289524853061073,14,14,0.5,BTK inhibitor,BTK,0.4787,0.9879333333333333,0.5213,0.9995
altrenogest,0.005595341324806213,0.0023244967063268027,-0.1326199173927307,0.13399890065193176,0.11078468891599401,6,6,0.5,Progestogen hormone,PGR,0.5131,0.9897973584905659,0.4869,0.98966328125
picrotoxin,0.0061482638120651245,0.00948562721411387,-0.06193464994430542,0.07817941904067993,0.0610475054614532,6,6,0.5,GABA receptor antagonist,GABRA1,0.5181,0.9949246268656717,0.4819,0.98966328125
rifampicin,0.006478533148765564,0.007663615047931671,-0.11713671684265137,0.1281270980834961,0.08606926774724066,8,8,0.5,RNA polymerase inhibitor,NR1I2,0.5042,0.9897973584905659,0.4958,0.98966328125
dantrolene,0.007231764495372772,0.007231764495372772,-0.06458333134651184,0.07904686033725739,0.07181509584188461,2,2,0.5,Calcium channel blocker,RYR1,0.546,0.9964500000000001,0.454,0.9791351239669422
CGS-21680,0.0073409974575042725,0.0073409974575042725,-0.09089809656143188,0.10558009147644043,0.09823909401893616,2,2,0.5,Adenosine receptor agonist,ADORA1,0.547,0.9964500000000001,0.453,0.9791351239669422
SB-203580,0.007470130920410156,0.009439142154795783,-0.09090141206979752,0.11143040657043457,0.07182261263370754,14,14,0.5,P38 MAPK inhibitor,MAPK14,0.4969,0.9897973584905659,0.5031,0.99645
cabergoline,0.009123921394348145,0.0024568259716033934,-0.13097941875457764,0.1249900758266449,0.08570597784659899,10,10,0.5,Dopamine receptor agonist,ADRA1A,0.5212,0.9949246268656717,0.4788,0.98966328125
