drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
austricine,-0.08476638793945312,-0.06057348847389221,-0.1269468069076538,0.05418562889099121,0.0707288989338242,4,4,0.75,,,0.1638,0.8546214285714285,0.8365,1.0
puromycin,-0.08379298448562622,-0.05038050765340978,-0.17869889736175537,0.08614535629749298,0.10116207078541607,11,11,0.6363636363636364,,,0.0968,0.8040265624999999,0.9041,1.0
molsidomine,-0.08342796564102173,-0.08048076927661896,-0.17350751161575317,0.06497400999069214,0.07915071533926706,6,6,0.8333333333333334,Guanylyl cyclase activator,GUCY1A1,0.149,0.8459888888888888,0.8511,1.0
OMDM-2,-0.08322517573833466,-0.08322517573833466,-0.12548670172691345,-0.04096364974975586,0.042261525988578796,2,2,1.0,,,0.1949,0.896075,0.8053,1.0
valsartan,-0.08306295424699783,-0.06437580846250057,-0.15663528442382812,0.0729234516620636,0.08431145708694358,8,8,0.75,Angiotensin receptor antagonist,AGTR1,0.1235,0.821909638554217,0.8765,1.0
pivmecillinam,-0.08257624506950378,-0.08257624506950378,-0.10382866859436035,-0.06132382154464722,0.021252423524856567,2,2,1.0,,,0.1964,0.896075,0.8036,1.0
glimepiride,-0.0822923481464386,-0.0011924132704734802,-0.12848800420761108,0.2383192777633667,0.13338350893776565,10,10,0.6,Insulin secretagogue,KCNJ11,0.107,0.8160746268656717,0.8932,1.0
guanadrel,-0.0819273293018341,-0.0819273293018341,-0.0935269296169281,-0.07032772898674011,0.011599600315093994,2,2,1.0,Adrenergic inhibitor,SLC6A2,0.1983,0.8967371681415929,0.8018,1.0
tofacitinib,-0.08168396353721619,-0.06609953753650188,-0.15704089403152466,0.10642440617084503,0.07177941319721644,8,8,0.875,JAK inhibitor,JAK1,0.1323,0.821909638554217,0.8678,1.0
doxycycline,-0.08148118853569031,-0.06048561756809553,-0.14325115084648132,0.1070733368396759,0.08137384559551443,6,6,0.8333333333333334,Metalloproteinase inhibitor,MMP8,0.1622,0.8546214285714285,0.8378,1.0
fluocinolone-acetonide,-0.08135947585105896,-0.011170849204063416,-0.11096689105033875,0.15339064598083496,0.10139340885501606,7,7,0.5714285714285714,Corticosteroid agonist,NR3C1,0.1599,0.8546214285714285,0.8403,1.0
NSC-693868,-0.08131895959377289,-0.05984345326821009,-0.24083387851715088,0.08419856429100037,0.09175965837252006,12,12,0.75,CDK inhibitor,CDK5,0.091,0.8040265624999999,0.909,1.0
hesperidin,-0.08119727298617363,-0.0625000037252903,-0.13643738627433777,0.07470795512199402,0.06759123240566615,6,6,0.8333333333333334,,,0.1639,0.8546214285714285,0.8364,1.0
U-0126,-0.08111616969108582,-0.0754068333369035,-0.19354316592216492,0.08598312735557556,0.0743562902720448,13,13,0.8461538461538461,MEK inhibitor,MAP2K1,0.0924,0.8040265624999999,0.9079,1.0
dexamethasone,-0.08095395565032959,-0.039413917417588984,-0.1754542589187622,0.14422452449798584,0.11148041397373598,19,19,0.631578947368421,Glucocorticoid receptor agonist,NR3C1,0.0556,0.681654716981132,0.9447,1.0
pravastatin,-0.08067001402378082,-0.026700725158055622,-0.20733284950256348,0.15063270926475525,0.11137870730648322,12,12,0.5833333333333334,HMGCR inhibitor,HMGCR,0.0946,0.8040265624999999,0.9054,1.0
timolol,-0.08018333464860916,-0.04135909862816334,-0.17561650276184082,0.1907852292060852,0.11113013799452631,8,8,0.75,Adrenergic receptor antagonist,ADRB1,0.1426,0.8338590909090908,0.8574,1.0
