drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
exemestane,-0.1024782657623291,-0.10125174290604061,-0.21420645713806152,0.053030937910079956,0.0717284023533146,9,9,0.8888888888888888,Aromatase inhibitor,CYP19A1,0.0242,0.7560477272727273,0.9759,1.0
naltriben,-0.10243452712893486,-0.10243452712893486,-0.14624744653701782,-0.0586216077208519,0.04381291940808296,2,2,1.0,Opioid receptor antagonist,OPRD1,0.1074,0.7782391891891892,0.8926,1.0
PD-123319,-0.10216286778450012,-0.045569454630215965,-0.1323453187942505,0.1415005326271057,0.10301286941806499,6,6,0.6666666666666666,Angiotensin antagonist,AGTR2,0.0433,0.7560477272727273,0.9567,1.0
fluocinonide,-0.10179802775382996,-0.10179802775382996,-0.11062473058700562,-0.0929713249206543,0.00882670283317566,2,2,1.0,,,0.1094,0.7782391891891892,0.8906,1.0
losartan,-0.10157784819602966,-0.037464162707328795,-0.16860651969909668,0.15447461605072021,0.1271111817703501,5,5,0.6,Angiotensin receptor antagonist,AGTR1,0.0648,0.7560477272727273,0.9355,1.0
BI-2536,-0.10006244480609894,-0.09866511821746826,-0.18879854679107666,0.05871042609214783,0.08049035569622828,12,12,0.8333333333333334,PLK inhibitor,PLK1,0.0107,0.55699,0.9893,1.0
guggulsterone,-0.0997554212808609,-0.10068656752506892,-0.25470200181007385,0.0864870548248291,0.07486772635135168,12,12,0.9166666666666666,IKK inhibitor,NR3C1,0.0109,0.55699,0.9891,1.0
NVP-AUY922,-0.0994248241186142,-0.09418668821454049,-0.20988786220550537,0.08239591121673584,0.09525236437820486,10,10,0.8,HSP inhibitor,HSP90AA1,0.0198,0.7560477272727273,0.9802,1.0
naproxen,-0.09914660453796387,-0.08360984708581652,-0.1908228099346161,0.10601472854614258,0.0858549633245108,7,7,0.8571428571428571,Cyclooxygenase inhibitor,PTGS1,0.0447,0.7560477272727273,0.9555,1.0
orteronel,-0.09850990772247314,-0.07341661055882771,-0.1612226366996765,0.14066630601882935,0.1026567226115388,6,6,0.8333333333333334,Cytochrome P450 inhibitor,CYP17A1,0.0525,0.7560477272727273,0.9475,1.0
OMDM-2,-0.09816503524780273,-0.09816503524780273,-0.10702526569366455,-0.08930480480194092,0.008860230445861816,2,2,1.0,,,0.1211,0.78831797752809,0.8789,1.0
cefuroxime,-0.09779214859008789,-0.03688929478327433,-0.10281312465667725,0.08993738889694214,0.08970343107580141,3,3,0.6666666666666666,,,0.1225,0.78831797752809,0.8778,1.0
GSK-690693,-0.09757278114557266,-0.028815495471159618,-0.2604717016220093,0.289781391620636,0.1872147676102761,6,6,0.6666666666666666,Akt inhibitor,AKT3,0.0561,0.7560477272727273,0.9439,1.0
atracurium,-0.09717440605163574,-0.07796168923377991,-0.17056012153625488,0.07487112283706665,0.08433732251695215,5,5,0.8,,,0.0776,0.7635519230769231,0.9229,1.0
ipratropium,-0.09676384925842285,-0.08323902222845289,-0.2112305462360382,0.051062822341918945,0.08239830933711587,9,9,0.7777777777777778,Acetylcholine receptor antagonist,CHRM1,0.0329,0.7560477272727273,0.9672,1.0
apicidin,-0.09536949545145035,-0.09536949545145035,-0.1226005107164383,-0.0681384801864624,0.027231015264987946,2,2,1.0,HDAC inhibitor,HDAC6,0.1291,0.78831797752809,0.8709,1.0
progesterone,-0.09509080648422241,-0.08447198735343085,-0.1806950867176056,0.05675414204597473,0.05905819412335818,9,9,0.8888888888888888,Progesterone receptor agonist,CYP17A1,0.0391,0.7560477272727273,0.9612,1.0
THZ-2-98-01,-0.09475883841514587,-0.06110938390096029,-0.12757670879364014,0.110828697681427,0.0799880207712908,6,6,0.8333333333333334,,,0.0644,0.7560477272727273,0.9356,1.0
serotonin,-0.09465621411800385,-0.09465621411800385,-0.14135465025901794,-0.047957777976989746,0.0466984361410141,2,2,1.0,Growth factor receptor activator,HTR1A,0.1325,0.78831797752809,0.8675,1.0
nalbuphine,-0.09454882144927979,-0.07970700519425529,-0.15071696043014526,0.09694105386734009,0.08119582355809092,7,7,0.8571428571428571,Opioid receptor agonist,OPRD1,0.0596,0.7560477272727273,0.9408,1.0
SB-366791,-0.0936315655708313,-0.0936315655708313,-0.11541283130645752,-0.07185029983520508,0.02178126573562622,2,2,1.0,TRPV antagonist,TRPV1,0.1351,0.78831797752809,0.8649,1.0
naringenin,-0.09350472688674927,-0.07044826235089983,-0.14797985553741455,0.1475217342376709,0.09276182094281843,7,7,0.8571428571428571,TRPV antagonist,CYP19A1,0.0651,0.7560477272727273,0.9353,1.0
NSC-693868,-0.09342360123991966,-0.04993386504550775,-0.19026541709899902,0.20450246334075928,0.11833112295532189,12,12,0.6666666666666666,CDK inhibitor,CDK5,0.0213,0.7560477272727273,0.9787,1.0
mephentermine,-0.09305134415626526,-0.09305134415626526,-0.13511961698532104,-0.05098307132720947,0.042068272829055786,2,2,1.0,,,0.1371,0.78831797752809,0.8629,1.0
PIK-75,-0.08947885036468506,-0.0403352826833725,-0.17247247695922852,0.07630583643913269,0.0990051970293538,9,9,0.5555555555555556,PI3K inhibitor,PIK3CA,0.0645,0.7560477272727273,0.9357,1.0
