drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
mephentermine,-0.13134367763996124,-0.13134367763996124,-0.17569133639335632,-0.08699601888656616,0.04434765875339508,2,2,1.0,,,0.0731,0.6625379310344828,0.9269,1.0
triptolide,-0.12996679544448853,-0.12289424879210335,-0.1720910370349884,-0.059601664543151855,0.03672541880145956,7,7,1.0,,,0.0183,0.333975,0.9818,1.0
orciprenaline,-0.12980561703443527,-0.12980561703443527,-0.14514385163784027,-0.11446738243103027,0.015338234603404999,2,2,1.0,Adrenergic receptor agonist,ADRB2,0.0778,0.6728166666666667,0.9222,1.0
amikacin,-0.12855246663093567,-0.12855246663093567,-0.14518749713897705,-0.11191743612289429,0.016635030508041382,2,2,1.0,,,0.0831,0.6728166666666667,0.9169,1.0
tribenoside,-0.1280096024274826,-0.1280096024274826,-0.17378616333007812,-0.08223304152488708,0.04577656090259552,2,2,1.0,,,0.0845,0.6728166666666667,0.9155,1.0
mevastatin,-0.1263987272977829,-0.1368122734129429,-0.17977629601955414,-0.11467534303665161,0.02527171275299654,4,4,1.0,HMGCR inhibitor,HMGCR,0.0484,0.5387717391304347,0.9516,1.0
rimantadine,-0.1263696253299713,-0.1263696253299713,-0.1485632061958313,-0.10417604446411133,0.022193580865859985,2,2,1.0,,,0.0895,0.6826044776119402,0.9105,1.0
A-443654,-0.12618762254714966,-0.08288748291405765,-0.20602256059646606,0.15862572193145752,0.10437015895014394,11,11,0.8181818181818182,,,0.0065,0.20139411764705883,0.9936,1.0
OSI-027,-0.12496151775121689,-0.1297090748945872,-0.17715558409690857,-0.06941255927085876,0.02970122280498409,12,12,1.0,MTOR inhibitor,MTOR,0.0042,0.18736666666666668,0.9958,1.0
flucloxacillin,-0.12387269735336304,-0.12387269735336304,-0.19072073698043823,-0.05702465772628784,0.0668480396270752,2,2,1.0,,,0.0977,0.7012055555555556,0.9023,1.0
fludarabine,-0.12268716096878052,-0.06233759969472885,-0.17176243662834167,0.1892876923084259,0.11711695558626878,12,12,0.6666666666666666,DNA synthesis inhibitor,RRM1,0.0053,0.20139411764705883,0.9947,1.0
ezetimibe,-0.12207561731338501,-0.07161010588918414,-0.22512230277061462,0.15175378322601318,0.14394335443377249,7,7,0.7142857142857143,Cholesterol inhibitor,NPC1L1,0.0356,0.48034,0.9646,1.0
idarubicin,-0.12206524610519409,-0.09044154626982552,-0.14584481716156006,0.10179871320724487,0.08255243934689654,7,7,0.8571428571428571,Topoisomerase inhibitor,TOP2A,0.036,0.48034,0.9644,1.0
streptozotocin,-0.12159313261508942,-0.12159313261508942,-0.12456947565078735,-0.11861678957939148,0.002976343035697937,2,2,1.0,,,0.1041,0.7181253333333333,0.8959,1.0
