drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
cefuroxime,-0.06821154057979584,-0.039048269391059875,-0.1062970757484436,0.057363808155059814,0.0699242138310701,3,3,0.6666666666666666,,,0.3333,0.8692161616161616,0.667,1.0
thioperamide,-0.06799888610839844,-0.04440247944810174,-0.20668941736221313,0.09372654557228088,0.0919178746180024,11,11,0.7272727272727273,Histamine receptor antagonist,HRH3,0.2221,0.8192378205128205,0.7791,1.0
cinanserin,-0.06778118014335632,-0.04755304008722305,-0.10906592011451721,0.05449068546295166,0.06107235655630722,8,8,0.75,,,0.2258,0.8192378205128205,0.7742,1.0
daunorubicin,-0.06756764650344849,-0.05308032150451954,-0.18827730417251587,0.10552707314491272,0.09731774763323264,13,13,0.6923076923076923,RNA synthesis inhibitor,TOP2A,0.1985,0.80682109375,0.8022,1.0
valsartan,-0.06753278896212578,-0.05567536875605583,-0.11276449263095856,0.05094224214553833,0.04575488986513183,8,8,0.875,Angiotensin receptor antagonist,AGTR1,0.2281,0.8192378205128205,0.7719,1.0
yohimbine,-0.06705743074417114,-0.060295323530832924,-0.15677446126937866,0.08308982849121094,0.061188474535091256,9,9,0.8888888888888888,Adrenergic receptor antagonist,ADRA2A,0.2437,0.8192378205128205,0.7567,1.0
picrotoxin,-0.06704291701316833,-0.052749236424764,-0.15431064367294312,0.13045242428779602,0.08878346550651726,6,6,0.8333333333333334,GABA receptor antagonist,GABRA1,0.2496,0.8192378205128205,0.7504,1.0
mestranol,-0.06703054904937744,-0.046724493686969466,-0.1340610384941101,0.12759405374526978,0.09439095870017512,13,13,0.6923076923076923,Estrogen receptor agonist,ESR1,0.2019,0.80682109375,0.7985,1.0
nemonapride,-0.06700299680233002,-0.038205282762646675,-0.15302038192749023,0.05453532934188843,0.07321949825883511,8,8,0.625,Dopamine receptor antagonist,DRD2,0.2321,0.8192378205128205,0.7679,1.0
mitomycin-c,-0.06651440262794495,-0.032116675128539406,-0.15643775463104248,0.12185031175613403,0.0917965392305079,6,6,0.6666666666666666,,,0.2537,0.8205107594936708,0.7463,1.0
oxiconazole,-0.0660882294178009,-0.030990779399871826,-0.07487314939498901,0.08308649063110352,0.06601329440093867,4,4,0.75,,,0.2622,0.8352011111111112,0.7378,1.0
ezetimibe,-0.06601175665855408,-0.027078883988516673,-0.14865398406982422,0.11987203359603882,0.09753563589252039,7,7,0.5714285714285714,Cholesterol inhibitor,NPC1L1,0.2822,0.8352011111111112,0.7184,1.0
L-689560,-0.06568768620491028,-0.030622396956790577,-0.19614389538764954,0.11056682467460632,0.09717724982234541,11,11,0.6363636363636364,,,0.2474,0.8192378205128205,0.7532,1.0
cilastatin,-0.06565999984741211,-0.03302431106567383,-0.1635255515575409,0.12275564670562744,0.09199076926902754,7,7,0.7142857142857143,Dehydropeptidase inhibitor,DPEP1,0.287,0.8352011111111112,0.7134,1.0
vincamine,-0.06552460789680481,-0.05021173357963562,-0.11803030967712402,0.0515781044960022,0.0558133946822167,5,5,0.8,,,0.3167,0.8581555555555557,0.6838,1.0
amcinonide,-0.0654897391796112,-0.016195187345147133,-0.10235348343849182,0.12682700157165527,0.08571769792573265,8,8,0.625,Glucocorticoid receptor agonist,NR3C1,0.2443,0.8192378205128205,0.7557,1.0
docetaxel,-0.06543678045272827,-0.02223543609891619,-0.14704972505569458,0.0995887815952301,0.09459048916203593,7,7,0.5714285714285714,Tubulin inhibitor,TUBB,0.2911,0.8352011111111112,0.7095,1.0
fluvoxamine,-0.06478554755449295,-0.01883439440280199,-0.08427253365516663,0.13906794786453247,0.09006670257149593,8,8,0.75,Selective serotonin reuptake inhibitor,SLC6A4,0.2501,0.8192378205128205,0.7499,1.0
physostigmine,-0.0647701621055603,-0.09694184895072665,-0.18937218189239502,-0.03982929140329361,0.05405390429915194,7,7,1.0,Cholinesterase inhibitor,ACHE,0.2961,0.8359508287292817,0.7044,1.0
BH3I-1,-0.06450438499450684,-0.052307676523923874,-0.17358478903770447,0.11546570062637329,0.0899828102017251,8,8,0.75,BCL inhibitor,BCL2L1,0.2532,0.8205107594936708,0.7468,1.0
losartan,-0.06361269950866699,-0.05614044517278671,-0.1787039339542389,0.0902087390422821,0.08559997372389049,5,5,0.8,Angiotensin receptor antagonist,AGTR1,0.3368,0.8692161616161616,0.6636,1.0
ritodrine,-0.06333953142166138,-0.05198309251240322,-0.09568890929222107,0.0663197934627533,0.050508009016547555,7,7,0.8571428571428571,Adrenergic receptor agonist,ADRB2,0.3128,0.8581555555555557,0.6875,1.0
tretinoin,-0.06331896781921387,-0.0662706139187018,-0.21036994457244873,0.05356144905090332,0.07079621311950213,15,15,0.8,Retinoid receptor ligand,RARA,0.2389,0.8192378205128205,0.7619,1.0
minoxidil,-0.06318318843841553,-0.02723965711063809,-0.16042295098304749,0.09308397769927979,0.09735507902409846,9,9,0.5555555555555556,Vasodilator,ABCC9,0.2934,0.8352011111111112,0.7071,1.0
veliparib,-0.06316573917865753,-0.04025323006014029,-0.16786718368530273,0.08986914157867432,0.08360088923268195,12,12,0.6666666666666666,PARP inhibitor,PARP2,0.2377,0.8192378205128205,0.7623,1.0
benazepril,-0.06307178735733032,-0.025767441306795393,-0.15640750527381897,0.1102040708065033,0.09896089673448745,7,7,0.5714285714285714,Angiotensin converting enzyme inhibitor,ACE,0.3174,0.8581555555555557,0.6834,1.0
finasteride,-0.06307011842727661,-0.011837833984331652,-0.1422504037618637,0.17585605382919312,0.11098047851312362,11,11,0.6363636363636364,5 alpha reductase inhibitor,SRD5A1,0.2878,0.8352011111111112,0.7129,1.0
hesperidin,-0.06282027065753937,-0.017083083589871723,-0.11204494535923004,0.12387235462665558,0.09329004962223986,6,6,0.6666666666666666,,,0.2805,0.8352011111111112,0.7195,1.0
guanadrel,-0.06269103288650513,-0.06269103288650513,-0.08175331354141235,-0.0436287522315979,0.019062280654907227,2,2,1.0,Adrenergic inhibitor,SLC6A2,0.2682,0.8352011111111112,0.7318,1.0
ICI-162846,-0.06241700053215027,-0.08814552426338196,-0.17970043420791626,-0.04577893018722534,0.04882946900890498,6,6,1.0,Histamine receptor antagonist,HRH2,0.2832,0.8352011111111112,0.7168,1.0
rifampicin,-0.06117945909500122,-0.04500354453921318,-0.11650842428207397,0.0832815170288086,0.0704689204033271,8,8,0.75,RNA polymerase inhibitor,NR1I2,0.2794,0.8352011111111112,0.7206,1.0
naproxen,-0.061053574085235596,-0.0360669025353023,-0.10021626949310303,0.06969308853149414,0.061586913289480336,7,7,0.7142857142857143,Cyclooxygenase inhibitor,PTGS1,0.3339,0.8692161616161616,0.6666,1.0
triptolide,-0.06079971790313721,-0.04232155105897358,-0.17878589034080505,0.08123678714036942,0.08494173410171861,7,7,0.7142857142857143,,,0.336,0.8692161616161616,0.6645,1.0
SB-205607,-0.06077134609222412,-0.06986170634627342,-0.18837860226631165,0.05980616807937622,0.08738309444951095,8,8,0.75,Delta 1 opioid receptor agonist,OPRD1,0.2825,0.8352011111111112,0.7175,1.0
orantinib,-0.06017997860908508,-0.036481305956840515,-0.09996873140335083,0.0971023440361023,0.06474739082843563,8,8,0.75,FGFR inhibitor,FGFR1,0.2886,0.8352011111111112,0.7114,1.0
indirubin,-0.05951005220413208,-0.0408608540892601,-0.16720646619796753,0.08823925256729126,0.08356063805451458,8,8,0.625,CDK inhibitor,CDK5,0.2942,0.8352011111111112,0.7058,1.0
benzydamine,-0.05922698974609375,-0.04228769029889788,-0.17393866181373596,0.12405602633953094,0.11153351614579053,7,7,0.5714285714285714,,,0.3513,0.8855655172413793,0.6494,1.0
sirolimus,-0.05918222665786743,-0.02011822231791236,-0.1539231538772583,0.12642478942871094,0.08608217289353323,22,22,0.6363636363636364,MTOR inhibitor,FKBP1A,0.242,0.8192378205128205,0.758,1.0
AZD-7762,-0.05891638994216919,-0.021760940747825724,-0.19853749871253967,0.15990519523620605,0.10000992164178864,19,19,0.5789473684210527,CHK inhibitor,CHEK1,0.2774,0.8352011111111112,0.7235,1.0
estriol,-0.058816373348236084,-0.01993822019833785,-0.17301571369171143,0.16815084218978882,0.09988618783915365,13,13,0.6153846153846154,Estrogen receptor agonist,ESR1,0.3172,0.8581555555555557,0.6833,1.0
fluocinonide,-0.05880964547395706,-0.05880964547395706,-0.07325631380081177,-0.044362977147102356,0.014446668326854706,2,2,1.0,,,0.2818,0.8352011111111112,0.7182,1.0
H-9,-0.058799535036087036,-0.03343940277894338,-0.15064990520477295,0.09136956930160522,0.07871585372806023,12,12,0.6666666666666666,PKA inhibitor,PRKACA,0.2825,0.8352011111111112,0.7175,1.0
HG-6-64-01,-0.05859844386577606,-0.009625409543514252,-0.18466702103614807,0.23263612389564514,0.13500215909455446,10,10,0.6,,,0.2998,0.8391010928961748,0.7002,1.0
capecitabine,-0.05849146842956543,-0.020204007625579834,-0.06635046005249023,0.08801859617233276,0.060628485953713965,6,6,0.6666666666666666,DNA synthesis inhibitor,TYMS,0.3091,0.8581555555555557,0.6909,1.0
azithromycin,-0.05776564031839371,-0.06952383865912755,-0.15822482109069824,0.04161888360977173,0.06726088218490012,6,6,0.8333333333333334,,,0.3133,0.8581555555555557,0.6867,1.0
demeclocycline,-0.05759752541780472,-0.05759752541780472,-0.1740790754556656,0.05888402462005615,0.11648155003786087,2,2,0.5,,,0.2849,0.8352011111111112,0.7151,1.0
amiprilose,-0.05746302008628845,-0.05746302008628845,-0.05746302008628845,-0.05746302008628845,0.0,1,1,1.0,,,0.4391,0.9399549800796813,0.5613,1.0
cyclopamine,-0.05694521963596344,-0.0310804390094497,-0.23688563704490662,0.1457405388355255,0.1135606898325762,11,11,0.5454545454545454,Smoothened receptor antagonist,SMO,0.3518,0.8855655172413793,0.6489,1.0
orteronel,-0.05614267289638519,-0.030612940589586895,-0.13111859560012817,0.07473403215408325,0.07202463329164295,6,6,0.6666666666666666,Cytochrome P450 inhibitor,CYP17A1,0.3223,0.8668173684210525,0.6777,1.0
cytisine,-0.055570006370544434,-0.055570006370544434,-0.055570006370544434,-0.055570006370544434,0.0,1,1,1.0,Acetylcholine receptor agonist,CHRNA2,0.4469,0.9399549800796813,0.5532,1.0
resorcinol,-0.055194735527038574,-0.025877616235188076,-0.15236052870750427,0.10981696844100952,0.09562269112866516,7,7,0.5714285714285714,,,0.3871,0.9291563380281689,0.6134,1.0
