drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
hydralazine,-0.12880273908376694,-0.12880273908376694,-0.16686570644378662,-0.09073977172374725,0.038062967360019684,2,2,1.0,,,0.0706,0.6361068965517241,0.9294,1.0
ampicillin,-0.1287151575088501,-0.04742484291394552,-0.13298183679580688,0.11942246556282043,0.11799172117141739,3,3,0.6666666666666666,,,0.0706,0.6361068965517241,0.9295,1.0
ouabain,-0.1266872137784958,-0.092895846547825,-0.23994484543800354,0.08536988496780396,0.1004751178334041,14,14,0.7857142857142857,ATPase inhibitor,ATP1A1,0.0016,0.09084444444444445,0.9984,1.0
daunorubicin,-0.12480205297470093,-0.1202293703189263,-0.2944159507751465,0.08168399333953857,0.07900008652130062,13,13,0.9230769230769231,RNA synthesis inhibitor,TOP2A,0.0032,0.1168,0.9968,1.0
XMD-16144,-0.12206357717514038,-0.09854769110679626,-0.2067975401878357,0.05133354663848877,0.09285288364298182,5,5,0.8,,,0.0441,0.5633775,0.956,1.0
emetine,-0.12170831114053726,-0.1317495122551918,-0.21286499500274658,-0.08288449048995972,0.045610432830795584,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0079,0.23746470588235294,0.9921,1.0
prothionamide,-0.1171836405992508,-0.1171836405992508,-0.1171836405992508,-0.1171836405992508,0.0,1,1,1.0,,,0.1896,0.8304823529411764,0.8105,1.0
epirubicin,-0.11698895692825317,-0.111088032523791,-0.26728424429893494,0.0522972047328949,0.0958074521961426,6,6,0.8333333333333334,Topoisomerase inhibitor,TOP2A,0.0319,0.4556416666666666,0.9681,1.0
sulbactam,-0.11664503812789917,-0.11664503812789917,-0.11664503812789917,-0.11664503812789917,0.0,1,1,1.0,,,0.1927,0.8304823529411764,0.8078,1.0
OBAA,-0.11564894765615463,-0.061527952551841736,-0.19496428966522217,0.23416289687156677,0.13191456287247497,12,12,0.8333333333333334,Phospholipase inhibitor,PLA2G1B,0.0062,0.19801249999999998,0.9938,1.0
streptozotocin,-0.11321058869361877,-0.11321058869361877,-0.12284880876541138,-0.10357236862182617,0.009638220071792603,2,2,1.0,,,0.1064,0.7295197368421052,0.8936,1.0
amsacrine,-0.11285528540611267,-0.10285853488104683,-0.2222517728805542,0.09908497333526611,0.09272727140922703,7,7,0.8571428571428571,Topoisomerase inhibitor,TOP2A,0.0321,0.4556416666666666,0.968,1.0
ascorbic-acid,-0.11198247969150543,-0.06536989907423656,-0.2315087616443634,0.14738154411315918,0.15815396602279327,3,3,0.6666666666666666,Antioxidant,SLC23A1,0.12,0.7478048780487805,0.8802,1.0
