drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
CD-1530,-0.15897276997566223,-0.07694777846336365,-0.21461844444274902,0.1427478790283203,0.15700052380433158,3,3,0.6666666666666666,Retinoid receptor agonist,RARG,0.1025,0.7377112676056338,0.8978,1.0
GDC-0980,-0.15819138288497925,-0.1785535454750061,-0.3555900752544403,-0.08741672337055206,0.09388506878605016,5,5,1.0,MTOR inhibitor,MTOR,0.0596,0.6344916666666667,0.9408,1.0
galantamine,-0.1579877883195877,-0.08086665400436946,-0.2001781165599823,0.12437260150909424,0.1261175817428108,7,7,0.7142857142857143,Acetylcholinesterase inhibitor,ACHE,0.0324,0.44747027027027025,0.9677,1.0
daunorubicin,-0.157664954662323,-0.1524583909374017,-0.3087843656539917,0.09954941272735596,0.11580016790124337,13,13,0.8461538461538461,RNA synthesis inhibitor,TOP2A,0.0073,0.18006666666666668,0.9927,1.0
OBAA,-0.15725359320640564,-0.10211434712012608,-0.32528406381607056,0.17417293787002563,0.16018905354467103,12,12,0.75,Phospholipase inhibitor,PLA2G1B,0.0047,0.13178421052631578,0.9953,1.0
emetine,-0.15629678219556808,-0.16007694751024246,-0.24665269255638123,-0.1210799366235733,0.03736754828808425,10,10,1.0,Protein synthesis inhibitor,RPS2,0.0118,0.25762916666666663,0.9882,1.0
SB-366791,-0.15339478850364685,-0.15339478850364685,-0.16078877449035645,-0.14600080251693726,0.007393985986709595,2,2,1.0,TRPV antagonist,TRPV1,0.1021,0.7377112676056338,0.8979,1.0
benzatropine,-0.1513511687517166,-0.1513511687517166,-0.1513511687517166,-0.1513511687517166,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.2128,0.9071305785123966,0.7874,1.0
rutin,-0.1501874327659607,-0.06397747649596287,-0.29430100321769714,0.16736580431461334,0.14300320478397227,13,13,0.6153846153846154,Antioxidant,AKR1C3,0.0121,0.25762916666666663,0.9879,1.0
molsidomine,-0.14988446235656738,-0.12692528466383615,-0.2565174400806427,0.09320741891860962,0.11133034202247104,6,6,0.8333333333333334,Guanylyl cyclase activator,GUCY1A1,0.0421,0.5050581395348838,0.9579,1.0
montelukast,-0.14972718805074692,-0.05379354705413183,-0.22944286465644836,0.25357240438461304,0.1942804301271244,6,6,0.6666666666666666,Leukotriene receptor antagonist,CYSLTR1,0.0423,0.5050581395348838,0.9577,1.0
artesunate,-0.148301899433136,-0.14022359305194446,-0.21382549405097961,-0.05546358600258827,0.050524419698607125,7,7,1.0,,,0.0535,0.5816702127659574,0.9468,1.0
nisoldipine,-0.14710001647472382,-0.07590760290622711,-0.16290771961212158,0.08228492736816406,0.11204501579151316,3,3,0.6666666666666666,Calcium channel blocker,CACNA1C,0.1397,0.8286329545454545,0.8607,1.0
